14:18:40 | __main__        | INFO     | ✅ Successfully extracted track: Faye Peraya - เติมคำว่า"รัก"ลงในช่องว่าง (OFFICIAL MV)
14:18:40 | __main__        | INFO     | ✅ Added track to queue: Faye Peraya - เติมคำว่า"รัก"ลงในช่องว่าง (OFFICIAL MV)
14:18:41 | __main__        | INFO     | 🎵 Starting playback for guild 1252561974253064273
14:18:41 | __main__        | INFO     | 🎵 Now playing: Faye Peraya - เติมคำว่า"รัก"ลงในช่องว่าง (OFFICIAL MV)
14:19:45 | __main__        | INFO     | 📊 Health Check: 6 guilds, 142 users, 1 playing
14:22:25 | __main__        | INFO     | 📭 Queue empty for guild 1252561974253064273
14:22:49 | __main__        | INFO     | 🎵 Play request: 'https://www.youtube.com/watch?v=OK7i2k6AZP8&list=RDOK7i2k6AZP8&start_radio=1' by Sleepless
14:22:49 | __main__        | INFO     | 🔗 Processing YouTube URL: https://www.youtube.com/watch?v=OK7i2k6AZP8&list=RDOK7i2k6AZP8&start_radio=1
14:22:58 | __main__        | INFO     | ✅ Successfully extracted track: カラス (Karasu) - free MV (Sub Español, English, Romaji)
14:22:58 | __main__        | INFO     | ✅ Added track to queue: カラス (Karasu) - free MV (Sub Español, English, Romaji)
14:22:59 | __main__        | INFO     | 🎵 Starting playback for guild 1252561974253064273
14:22:59 | __main__        | INFO     | 🎵 Now playing: カラス (Karasu) - free MV (Sub Español, English, Romaji)
14:23:43 | __main__        | INFO     | 📭 Queue empty for guild 1252561974253064273
14:24:23 | __main__        | INFO     | 🎵 Play request: 'https://youtu.be/OK7i2k6AZP8?feature=shared' by Sleepless
14:24:23 | __main__        | INFO     | 🔗 Processing YouTube URL: https://youtu.be/OK7i2k6AZP8?feature=shared
14:24:38 | __main__        | WARNING  | ⏰ YouTube extraction timeout for https://youtu.be/OK7i2k6AZP8?feature=shared
14:24:45 | __main__        | INFO     | 📊 Health Check: 6 guilds, 142 users, 0 playing
14:25:20 | __main__        | INFO     | 🎵 Play request: 'https://youtu.be/OK7i2k6AZP8?feature=shared' by Sleepless
14:25:20 | __main__        | INFO     | 🔗 Processing YouTube URL: https://youtu.be/OK7i2k6AZP8?feature=shared
14:25:26 | __main__        | INFO     | ✅ Successfully extracted track: カラス (Karasu) - free MV (Sub Español, English, Romaji)
14:25:26 | __main__        | INFO     | ✅ Added track to queue: カラス (Karasu) - free MV (Sub Español, English, Romaji)
14:25:27 | __main__        | INFO     | 🎵 Starting playback for guild 1252561974253064273
14:25:27 | __main__        | INFO     | 🎵 Now playing: カラス (Karasu) - free MV (Sub Español, English, Romaji)
14:25:51 | discord.ext.commands.bot | ERROR    | Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "help" is not found
14:29:28 | __main__        | INFO     | 📭 Queue empty for guild 1252561974253064273
14:29:45 | __main__        | INFO     | 📊 Health Check: 6 guilds, 142 users, 0 playing
14:34:19 | __main__        | INFO     | 🚀 Starting Enhanced YouTube Music Bot v3.0...
14:34:19 | __main__        | INFO     | 🐍 Python: 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)]
14:34:19 | __main__        | INFO     | 📦 Discord.py: 2.6.3
14:34:19 | __main__        | INFO     | 🎵 Starting bot connection...
14:34:20 | __main__        | INFO     | 🚀 Starting Enhanced YouTube Music Bot v3.0...
14:34:20 | __main__        | INFO     | ✅ Database initialized successfully with enhanced schema
14:34:20 | __main__        | ERROR    | ❌ Failed to load config for guild 1252561974253064273: '128k' is not a valid AudioQuality
14:34:20 | __main__        | INFO     | ✅ Loaded 0 server configurations
14:34:20 | __main__        | INFO     | ✅ Synced 12 slash commands
14:34:20 | __main__        | INFO     | ✅ Bot setup completed successfully in 1.69s
14:34:24 | __main__        | INFO     | ============================================================
14:34:24 | __main__        | INFO     | 🎵 Enhanced Music Bot v3.0 is ready!
14:34:24 | __main__        | INFO     | 📊 Bot: ALL-FaraSong#9890 (ID: 1193773719219347506)
14:34:24 | __main__        | INFO     | 🌐 Connected to 6 guilds
14:34:24 | __main__        | INFO     | 👥 Serving 142 users
14:34:24 | __main__        | INFO     | ============================================================
14:34:48 | __main__        | INFO     | 🎵 Play request: 'https://youtu.be/JwHh3hmeACc?feature=shared' by Sleepless
14:34:48 | __main__        | INFO     | 🔗 Processing YouTube URL: https://youtu.be/JwHh3hmeACc?feature=shared
14:34:56 | __main__        | INFO     | ✅ Successfully extracted track: Gundam Build Fighters "Nibun no ichi" (Español Latino)
14:34:56 | __main__        | INFO     | ✅ Added track to queue: Gundam Build Fighters "Nibun no ichi" (Español Latino)
14:34:56 | __main__        | INFO     | 🎵 Starting playback for guild 1252561974253064273
14:34:56 | __main__        | INFO     | 🎵 Now playing: Gundam Build Fighters "Nibun no ichi" (Español Latino)
14:35:04 | __main__        | INFO     | 🎵 Play request: 'https://youtu.be/FUH9S44D1BM?feature=shared' by Sleepless
14:35:04 | __main__        | INFO     | 🔗 Processing YouTube URL: https://youtu.be/FUH9S44D1BM?feature=shared
14:35:12 | __main__        | INFO     | ✅ Successfully extracted track: FLOW - Colors
14:35:12 | __main__        | INFO     | ✅ Added track to queue: FLOW - Colors
14:36:59 | __main__        | INFO     | 🎵 Starting playback for guild 1252561974253064273
